seed_base,run_id,proxy_clear_rate,proxy_damage_per_min,proxy_survival_time,proxy_input_density,q_a,q_intro,q_success_fb,q_d,q_c,q_e
2000000,2000011,0,0.9356,64.13,20.5832,5,4.5,3,4,4.5,5
2000000,2000012,0,2.2371,26.82,20.1342,5,4.5,3,4,4.5,5
2000000,2000013,0,2.2346,26.85,20.1117,5,4.5,3,4,4.5,5
2000000,2000014,0,2.1622,27.75,19.4595,5,4.5,3,4,4.5,5
2000000,2000015,0,6.2827,9.55,18.8482,5,4.5,3,4,4.5,5
2000000,2000016,0,2.1978,27.3,19.7802,5,4.5,3,4,4.5,5
2000000,2000017,0,2.1299,28.17,21.2993,5,4.5,3,4,4.5,5
2000000,2000018,0,8.5714,7,25.7143,5,4.5,3,4,4.5,5
2000000,2000019,0,2.0819,28.82,20.8189,5,4.5,3,4,4.5,5
2000000,2000020,0,0.9346,64.2,20.5607,5,4.5,3,4,4.5,5
2000000,2000021,0,6.25,9.6,18.75,5,4.5,3,4,4.5,5
2000000,2000022,0,6.8966,8.7,20.6897,5,4.5,3,4,4.5,5
2000000,2000023,0,6.4725,9.27,19.4175,5,4.5,3,4,4.5,5
2000000,2000024,0,1.373,43.7,20.595,5,4.5,3,4,4.5,5
2000000,2000025,0,2.3483,25.55,21.135,5,4.5,3,4,4.5,5
2000000,2000026,0,2.2388,26.8,20.1493,5,4.5,3,4,4.5,5
2000000,2000027,0,2.3904,25.1,21.5139,5,4.5,3,4,4.5,5
2000000,2000028,0,6.9124,8.68,20.7373,5,4.5,3,4,4.5,5
2000000,2000029,0,1.3181,45.52,19.7715,5,4.5,3,4,4.5,5
3000000,3000000,0,2.1622,27.75,19.4595,5,4.5,3,4,4.5,5
3000000,3000001,0,2.3139,25.93,20.8253,5,4.5,3,4,4.5,5
3000000,3000002,0,1.3021,46.08,20.8333,5,4.5,3,4,4.5,5
3000000,3000003,0,6.4725,9.27,19.4175,5,4.5,3,4,4.5,5
3000000,3000004,0,6.4655,9.28,19.3966,5,4.5,3,4,4.5,5
3000000,3000005,0,0.9459,63.43,19.8644,5,4.5,3,4,4.5,5
3000000,3000006,0,0.9346,64.2,20.5607,5,4.5,3,4,4.5,5
3000000,3000007,0,6.4725,9.27,19.4175,5,4.5,3,4,4.5,5
3000000,3000008,0,1.3035,46.03,20.856,5,4.5,3,4,4.5,5
3000000,3000009,0,1.3164,45.58,19.7455,5,4.5,3,4,4.5,5
3000000,3000010,0,6.237,9.62,18.711,5,4.5,3,4,4.5,5
3000000,3000011,0,0.9603,62.48,20.1665,5,4.5,3,4,4.5,5
3000000,3000012,0,2.1882,27.42,19.6937,5,4.5,3,4,4.5,5
3000000,3000013,0,2.1922,27.37,19.7296,5,4.5,3,4,4.5,5
3000000,3000014,0,2.1429,28,21.4286,5,4.5,3,4,4.5,5
3000000,3000015,0,0.9343,64.22,20.5543,5,4.5,3,4,4.5,5
3000000,3000016,0,0.9349,64.18,20.5672,5,4.5,3,4,4.5,5
3000000,3000017,0,0.7268,82.55,20.3513,5,4.5,3,4,4.5,5
3000000,3000018,0,0.936,64.1,20.5928,5,4.5,3,4,4.5,5
3000000,3000019,0,2.3502,25.53,21.1516,5,4.5,3,4,4.5,5
3000000,3000020,0,0.9513,63.07,19.9778,5,4.5,3,4,4.5,5
3000000,3000021,0,1.3911,43.13,20.8671,5,4.5,3,4,4.5,5
3000000,3000022,0,6.4655,9.28,19.3966,5,4.5,3,4,4.5,5
3000000,3000023,0,2.0848,28.78,20.8478,5,4.5,3,4,4.5,5
3000000,3000024,0,2.2413,26.77,20.1718,5,4.5,3,4,4.5,5
3000000,3000025,0,2.1429,28,21.4286,5,4.5,3,4,4.5,5
3000000,3000026,0,2.3715,25.3,21.3439,5,4.5,3,4,4.5,5
3000000,3000027,0,2.1598,27.78,19.4384,5,4.5,3,4,4.5,5
3000000,3000028,0,2.1882,27.42,19.6937,5,4.5,3,4,4.5,5
3000000,3000029,0,1.3021,46.08,20.8333,5,4.5,3,4,4.5,5
4000000,4000000,0,6.5076,9.22,19.5228,5,4.5,3,4,4.5,5
4000000,4000001,0,6.263,9.58,18.7891,5,4.5,3,4,4.5,5
4000000,4000002,0,2.1779,27.55,19.6007,5,4.5,3,4,4.5,5
4000000,4000003,0,1.3172,45.55,19.7585,5,4.5,3,4,4.5,5
4000000,4000004,0,0.9674,62.02,20.316,5,4.5,3,4,4.5,5
4000000,4000005,0,0.9407,63.78,19.7554,5,4.5,3,4,4.5,5
4000000,4000006,0,0.9446,63.52,19.8363,5,4.5,3,4,4.5,5
4000000,4000007,0,0.9375,64,20.625,5,4.5,3,4,4.5,5
4000000,4000008,0,0.935,64.17,20.5704,5,4.5,3,4,4.5,5
4000000,4000009,0,2.2875,26.23,20.5871,5,4.5,3,4,4.5,5
4000000,4000010,0,2.2796,26.32,20.5167,5,4.5,3,4,4.5,5
4000000,4000011,0,2.1898,27.4,19.708,5,4.5,3,4,4.5,5
4000000,4000012,0,1.3333,45,20,5,4.5,3,4,4.5,5
4000000,4000013,0,2.2413,26.77,20.1718,5,4.5,3,4,4.5,5
4000000,4000014,0,6.3291,9.48,18.9873,5,4.5,3,4,4.5,5
4000000,4000015,0,2.1938,27.35,19.7441,5,4.5,3,4,4.5,5
4000000,4000016,0,5.988,10.02,23.9521,5,4.5,3,4,4.5,5
4000000,4000017,0,2.2035,27.23,19.8311,5,4.5,3,4,4.5,5
4000000,4000018,0,2.3392,25.65,21.0526,5,4.5,3,4,4.5,5
4000000,4000019,0,2.1914,27.38,19.7224,5,4.5,3,4,4.5,5
4000000,4000020,0,2.1413,28.02,21.4133,5,4.5,3,4,4.5,5
4000000,4000021,0,0.9524,63,20,5,4.5,3,4,4.5,5
4000000,4000022,0,6.4655,9.28,19.3966,5,4.5,3,4,4.5,5
4000000,4000023,0,2.2388,26.8,20.1493,5,4.5,3,4,4.5,5
4000000,4000024,0,2.2371,26.82,20.1342,5,4.5,3,4,4.5,5
4000000,4000025,0,8.5714,7,25.7143,5,4.5,3,4,4.5,5
4000000,4000026,1,0,90,20,5,4.5,3,4,4.5,5
4000000,4000027,0,6.4725,9.27,19.4175,5,4.5,3,4,4.5,5
4000000,4000028,0,2.1676,27.68,19.5087,5,4.5,3,4,4.5,5
4000000,4000029,0,1.3348,44.95,20.0222,5,4.5,3,4,4.5,5
5000000,5000000,0,2.1914,27.38,19.7224,5,4.5,3,4,4.5,5
5000000,5000001,0,2.1637,27.73,19.4735,5,4.5,3,4,4.5,5
5000000,5000002,0,6.4865,9.25,19.4595,5,4.5,3,4,4.5,5
5000000,5000003,0,6.4655,9.28,19.3966,5,4.5,3,4,4.5,5
5000000,5000004,0,2.3933,25.07,21.5397,5,4.5,3,4,4.5,5
5000000,5000005,0,2.3274,25.78,20.9465,5,4.5,3,4,4.5,5
5000000,5000006,0,1.3761,43.6,20.6422,5,4.5,3,4,4.5,5
5000000,5000007,0,2.2363,26.83,20.1267,5,4.5,3,4,4.5,5
5000000,5000008,0,2.1898,27.4,19.708,5,4.5,3,4,4.5,5
5000000,5000009,0,1.3167,45.57,19.7498,5,4.5,3,4,4.5,5
5000000,5000010,0,2.3981,25.02,21.5827,5,4.5,3,4,4.5,5
5000000,5000011,0,0.935,64.17,20.5704,5,4.5,3,4,4.5,5
5000000,5000012,0,2.1858,27.45,19.6721,5,4.5,3,4,4.5,5
5000000,5000013,0,1.3815,43.43,20.723,5,4.5,3,4,4.5,5
5000000,5000014,0,2.3465,25.57,21.1185,5,4.5,3,4,4.5,5
5000000,5000015,0,1.3207,45.43,19.8107,5,4.5,3,4,4.5,5
5000000,5000016,0,6.4725,9.27,19.4175,5,4.5,3,4,4.5,5
5000000,5000017,0,6.4725,9.27,19.4175,5,4.5,3,4,4.5,5
5000000,5000018,0,6.4865,9.25,19.4595,5,4.5,3,4,4.5,5
5000000,5000019,0,1.3674,43.88,20.5105,5,4.5,3,4,4.5,5
5000000,5000020,0,2.2388,26.8,20.1493,5,4.5,3,4,4.5,5
5000000,5000021,0,2.3529,25.5,21.1765,5,4.5,3,4,4.5,5
5000000,5000022,0,1.3178,45.53,19.7672,5,4.5,3,4,4.5,5
5000000,5000023,0,0.9353,64.15,20.5768,5,4.5,3,4,4.5,5
5000000,5000024,0,2.1882,27.42,19.6937,5,4.5,3,4,4.5,5
5000000,5000025,0,0.9346,64.2,20.5607,5,4.5,3,4,4.5,5
5000000,5000026,0,6.5005,9.23,19.5016,5,4.5,3,4,4.5,5
5000000,5000027,0,6.4516,9.3,19.3548,5,4.5,3,4,4.5,5
5000000,5000028,0,0.9349,64.18,20.5672,5,4.5,3,4,4.5,5
5000000,5000029,0,1.3043,46,20.8696,5,4.5,3,4,4.5,5
6000000,6000000,0,1.308,45.87,19.6207,5,4.5,3,4,4.5,5
6000000,6000001,0,1.308,45.87,19.6207,5,4.5,3,4,4.5,5
6000000,6000002,0,0.9346,64.2,20.5607,5,4.5,3,4,4.5,5
6000000,6000003,0,1.3181,45.52,19.7715,5,4.5,3,4,4.5,5
6000000,6000004,0,8.5714,7,25.7143,5,4.5,3,4,4.5,5
6000000,6000005,0,6.4516,9.3,19.3548,5,4.5,3,4,4.5,5
6000000,6000006,0,1.3178,45.53,19.7672,5,4.5,3,4,4.5,5
6000000,6000007,0,2.1429,28,21.4286,5,4.5,3,4,4.5,5
6000000,6000008,0,2.2788,26.33,20.5089,5,4.5,3,4,4.5,5
6000000,6000009,0,6.4725,9.27,19.4175,5,4.5,3,4,4.5,5
6000000,6000010,0,2.1962,27.32,19.7657,5,4.5,3,4,4.5,5
6000000,6000011,0,0.9349,64.18,20.5672,5,4.5,3,4,4.5,5
6000000,6000012,0,2.2388,26.8,20.1493,5,4.5,3,4,4.5,5
6000000,6000013,0,1.3354,44.93,20.0312,5,4.5,3,4,4.5,5
6000000,6000014,0,2.1922,27.37,19.7296,5,4.5,3,4,4.5,5
6000000,6000015,0,2.2346,26.85,20.1117,5,4.5,3,4,4.5,5
6000000,6000016,0,1.3348,44.95,20.0222,5,4.5,3,4,4.5,5
6000000,6000017,0,6.4378,9.32,19.3133,5,4.5,3,4,4.5,5
6000000,6000018,0,2.3392,25.65,21.0526,5,4.5,3,4,4.5,5
6000000,6000019,0,2.1429,28,21.4286,5,4.5,3,4,4.5,5
6000000,6000020,0,2.3364,25.68,21.028,5,4.5,3,4,4.5,5
6000000,6000021,1,0,90,20,5,4.5,3,4,4.5,5
6000000,6000022,0,2.3603,25.42,21.2431,5,4.5,3,4,4.5,5
6000000,6000023,0,1.3879,43.23,20.8189,5,4.5,3,4,4.5,5
6000000,6000024,0,0.9356,64.13,20.5832,5,4.5,3,4,4.5,5
6000000,6000025,0,1.3196,45.47,19.7933,5,4.5,3,4,4.5,5
6000000,6000026,0,6.4655,9.28,19.3966,5,4.5,3,4,4.5,5
6000000,6000027,0,6.3291,9.48,18.9873,5,4.5,3,4,4.5,5
6000000,6000028,0,2.2346,26.85,20.1117,5,4.5,3,4,4.5,5
6000000,6000029,0,2.1914,27.38,19.7224,5,4.5,3,4,4.5,5
7000000,7000000,0,0.9698,61.87,20.3653,5,4.5,3,4,4.5,5
7000000,7000001,0,2.1882,27.42,19.6937,5,4.5,3,4,4.5,5
7000000,7000002,0,6.2827,9.55,18.8482,5,4.5,3,4,4.5,5
7000000,7000003,1,0,90,20,5,4.5,3,4,4.5,5
7000000,7000004,1,0,90,20,5,4.5,3,4,4.5,5
7000000,7000005,0,1.3043,46,20.8696,5,4.5,3,4,4.5,5
7000000,7000006,0,6.5076,9.22,19.5228,5,4.5,3,4,4.5,5
7000000,7000007,0,0.9761,61.47,20.4978,5,4.5,3,4,4.5,5
7000000,7000008,0,6.4725,9.27,19.4175,5,4.5,3,4,4.5,5
7000000,7000009,0,0.9349,64.18,20.5672,5,4.5,3,4,4.5,5
7000000,7000010,0,2.2388,26.8,20.1493,5,4.5,3,4,4.5,5
7000000,7000011,0,1.3847,43.33,20.7708,5,4.5,3,4,4.5,5
7000000,7000012,0,2.1834,27.48,19.6507,5,4.5,3,4,4.5,5
7000000,7000013,0,6.4655,9.28,19.3966,5,4.5,3,4,4.5,5
7000000,7000014,0,6.5217,9.2,19.5652,5,4.5,3,4,4.5,5
7000000,7000015,0,1.3937,43.05,20.9059,5,4.5,3,4,4.5,5
7000000,7000016,0,0.935,64.17,20.5704,5,4.5,3,4,4.5,5
7000000,7000017,0,6.4865,9.25,19.4595,5,4.5,3,4,4.5,5
7000000,7000018,0,2.4,25,21.6,5,4.5,3,4,4.5,5
7000000,7000019,0,2.1898,27.4,19.708,5,4.5,3,4,4.5,5
7000000,7000020,0,1.3953,43,20.9302,5,4.5,3,4,4.5,5
7000000,7000021,0,8.0321,7.47,24.0964,5,4.5,3,4,4.5,5
7000000,7000022,0,6.4865,9.25,19.4595,5,4.5,3,4,4.5,5
7000000,7000023,0,1.3001,46.15,20.8017,5,4.5,3,4,4.5,5
7000000,7000024,0,2.2371,26.82,20.1342,5,4.5,3,4,4.5,5
7000000,7000025,0,0.9444,63.53,19.8331,5,4.5,3,4,4.5,5
7000000,7000026,0,2.381,25.2,21.4286,5,4.5,3,4,4.5,5
7000000,7000027,0,6.5717,9.13,19.7152,5,4.5,3,4,4.5,5
7000000,7000028,0,2.1898,27.4,19.708,5,4.5,3,4,4.5,5
7000000,7000029,0,0.9736,61.63,20.4446,5,4.5,3,4,4.5,5
8000000,8000000,0,2.1429,28,21.4286,5,4.5,3,4,4.5,5
8000000,8000001,0,5.597,10.72,22.3881,5,4.5,3,4,4.5,5
8000000,8000002,0,2.3791,25.22,21.4116,5,4.5,3,4,4.5,5
8000000,8000003,0,0.9788,61.3,20.5546,5,4.5,3,4,4.5,5
8000000,8000004,0,1.3348,44.95,20.0222,5,4.5,3,4,4.5,5
8000000,8000005,0,2.1882,27.42,19.6937,5,4.5,3,4,4.5,5
8000000,8000006,0,2.2371,26.82,20.1342,5,4.5,3,4,4.5,5
8000000,8000007,0,2.1882,27.42,19.6937,5,4.5,3,4,4.5,5
8000000,8000008,0,2.2321,26.88,20.0893,5,4.5,3,4,4.5,5
8000000,8000009,0,0.9404,63.8,19.7492,5,4.5,3,4,4.5,5
8000000,8000010,0,0.9409,63.77,19.7585,5,4.5,3,4,4.5,5
8000000,8000011,0,2.1842,27.47,19.6578,5,4.5,3,4,4.5,5
8000000,8000012,0,0.9756,61.5,20.4878,5,4.5,3,4,4.5,5
8000000,8000013,0,0.9767,61.43,20.5112,5,4.5,3,4,4.5,5
8000000,8000014,0,1.3953,43,20.9302,5,4.5,3,4,4.5,5
8000000,8000015,0,2.233,26.87,20.0968,5,4.5,3,4,4.5,5
8000000,8000016,0,2.1882,27.42,19.6937,5,4.5,3,4,4.5,5
8000000,8000017,0,1.352,44.38,20.2794,5,4.5,3,4,4.5,5
8000000,8000018,0,0.9444,63.53,19.8331,5,4.5,3,4,4.5,5
8000000,8000019,0,2.1898,27.4,19.708,5,4.5,3,4,4.5,5
8000000,8000020,0,6.9525,8.63,20.8575,5,4.5,3,4,4.5,5
8000000,8000021,0,0.9356,64.13,20.5832,5,4.5,3,4,4.5,5
8000000,8000022,0,1.3043,46,20.8696,5,4.5,3,4,4.5,5
8000000,8000023,0,0.9353,64.15,20.5768,5,4.5,3,4,4.5,5
8000000,8000024,0,2.3238,25.82,20.914,5,4.5,3,4,4.5,5
8000000,8000025,0,2.0464,29.32,20.4638,5,4.5,3,4,4.5,5
8000000,8000026,0,0.9682,61.97,20.3324,5,4.5,3,4,4.5,5
8000000,8000027,0,1.3339,44.98,20.0089,5,4.5,3,4,4.5,5
8000000,8000028,0,1.3646,43.97,20.4685,5,4.5,3,4,4.5,5
8000000,8000029,0,2.1898,27.4,19.708,5,4.5,3,4,4.5,5
9000000,9000000,0,2.2388,26.8,20.1493,5,4.5,3,4,4.5,5
9000000,9000001,0,6.263,9.58,18.7891,5,4.5,3,4,4.5,5
9000000,9000002,0,2.2371,26.82,20.1342,5,4.5,3,4,4.5,5
9000000,9000003,0,1.3354,44.93,20.0312,5,4.5,3,4,4.5,5
9000000,9000004,0,1.3043,46,20.8696,5,4.5,3,4,4.5,5
9000000,9000005,0,2.1755,27.58,19.5794,5,4.5,3,4,4.5,5
9000000,9000006,0,2.2388,26.8,20.1493,5,4.5,3,4,4.5,5
9000000,9000007,0,1.3038,46.02,20.8605,5,4.5,3,4,4.5,5
9000000,9000008,0,2.1978,27.3,19.7802,5,4.5,3,4,4.5,5
9000000,9000009,0,6.4725,9.27,19.4175,5,4.5,3,4,4.5,5
9000000,9000010,0,2.2371,26.82,20.1342,5,4.5,3,4,4.5,5
9000000,9000011,0,0.9524,63,20,5,4.5,3,4,4.5,5
9000000,9000012,0,0.9356,64.13,20.5832,5,4.5,3,4,4.5,5
9000000,9000013,0,0.9524,63,20,5,4.5,3,4,4.5,5
9000000,9000014,0,6.4865,9.25,19.4595,5,4.5,3,4,4.5,5
9000000,9000015,0,1.3178,45.53,19.7672,5,4.5,3,4,4.5,5
9000000,9000016,0,0.9785,61.32,20.5479,5,4.5,3,4,4.5,5
9000000,9000017,0,0.9751,61.53,20.4778,5,4.5,3,4,4.5,5
9000000,9000018,0,2.3952,25.05,21.5569,5,4.5,3,4,4.5,5
9000000,9000019,0,6.5005,9.23,19.5016,5,4.5,3,4,4.5,5
9000000,9000020,0,2.3229,25.83,20.9059,5,4.5,3,4,4.5,5
9000000,9000021,0,0.9804,61.2,20.5882,5,4.5,3,4,4.5,5
9000000,9000022,0,2.3828,25.18,21.4456,5,4.5,3,4,4.5,5
9000000,9000023,0,0.9407,63.78,19.7554,5,4.5,3,4,4.5,5
9000000,9000024,0,2.1858,27.45,19.6721,5,4.5,3,4,4.5,5
9000000,9000025,0,1.3029,46.05,20.8469,5,4.5,3,4,4.5,5
9000000,9000026,0,6.4655,9.28,19.3966,5,4.5,3,4,4.5,5
9000000,9000027,0,6.25,9.6,18.75,5,4.5,3,4,4.5,5
9000000,9000028,0,0.94,63.83,19.7399,5,4.5,3,4,4.5,5
9000000,9000029,0,1.2965,46.28,20.7433,5,4.5,3,4,4.5,5
10000000,10000000,0,0.7595,79,20.5063,5,4.5,3,4,4.5,5
10000000,10000001,0,1.3043,46,20.8696,5,4.5,3,4,4.5,5
10000000,10000002,0,1.3149,45.63,19.7239,5,4.5,3,4,4.5,5
10000000,10000003,0,0.9524,63,20,5,4.5,3,4,4.5,5
10000000,10000004,0,6.4865,9.25,19.4595,5,4.5,3,4,4.5,5
10000000,10000005,0,1.3172,45.55,19.7585,5,4.5,3,4,4.5,5
10000000,10000006,0,2.2371,26.82,20.1342,5,4.5,3,4,4.5,5
10000000,10000007,0,2.1914,27.38,19.7224,5,4.5,3,4,4.5,5
10000000,10000008,0,0.9353,64.15,20.5768,5,4.5,3,4,4.5,5
10000000,10000009,0,6.9525,8.63,20.8575,5,4.5,3,4,4.5,5
10000000,10000010,0,1.3029,46.05,20.8469,5,4.5,3,4,4.5,5
10000000,10000011,0,6.4725,9.27,19.4175,5,4.5,3,4,4.5,5
10000000,10000012,0,2.1882,27.42,19.6937,5,4.5,3,4,4.5,5
10000000,10000013,0,2.1413,28.02,21.4133,5,4.5,3,4,4.5,5
10000000,10000014,0,2.2413,26.77,20.1718,5,4.5,3,4,4.5,5
10000000,10000015,1,0,90,20,5,4.5,3,4,4.5,5
10000000,10000016,0,1.3658,43.93,20.4871,5,4.5,3,4,4.5,5
10000000,10000017,0,0.9597,62.52,20.1536,5,4.5,3,4,4.5,5
10000000,10000018,0,1.3393,44.8,20.0893,5,4.5,3,4,4.5,5
10000000,10000019,0,0.9363,64.08,20.5993,5,4.5,3,4,4.5,5
10000000,10000020,0,1.3348,44.95,20.0222,5,4.5,3,4,4.5,5
10000000,10000021,0,1.3167,45.57,19.7498,5,4.5,3,4,4.5,5
10000000,10000022,0,2.233,26.87,20.0968,5,4.5,3,4,4.5,5
10000000,10000023,0,1.3043,46,20.8696,5,4.5,3,4,4.5,5
10000000,10000024,0,0.9449,63.5,19.8425,5,4.5,3,4,4.5,5
10000000,10000025,0,2.1914,27.38,19.7224,5,4.5,3,4,4.5,5
10000000,10000026,0,2.2388,26.8,20.1493,5,4.5,3,4,4.5,5
10000000,10000027,0,0.9524,63,20,5,4.5,3,4,4.5,5
10000000,10000028,0,2.3283,25.77,20.9546,5,4.5,3,4,4.5,5
10000000,10000029,0,2.3876,25.13,21.4883,5,4.5,3,4,4.5,5
