# orphan_check.py result (run=2026-05-12)
# scope: memory/**/*.md = 261 files, reachable from 30 index roots = 432 files
# v0.3: relocate-fallback (2026-05-08*) applied to 0 files

## 真孤児 (refs=0 + age>30日): 25 件
[true_orphan] memory/reflections_win2_index.md (last_edit=2026-03-15, age=58日, refs=0)
[stale_linked] memory/reflections_mac_index.md (last_edit=2026-03-20, age=53日, refs=1)
[stale_linked] memory/feedback_tweet_style.md (last_edit=2026-03-21, age=52日, refs=1)
[stale_linked] memory/feedback_slack_no_threads.md (last_edit=2026-03-23, age=50日, refs=1)
[stale_linked] memory/l2_dual_index.md (last_edit=2026-03-23, age=50日, refs=1)
[stale_linked] memory/feedback_positive_feedback_loop.md (last_edit=2026-03-24, age=49日, refs=1)
[stale_linked] memory/feedback_self_control_scope.md (last_edit=2026-03-27, age=46日, refs=1)
[stale_linked] memory/nao_u_deep_profile.md (last_edit=2026-03-28, age=45日, refs=1)
[stale_linked] memory/feedback_diary_density.md (last_edit=2026-04-05, age=37日, refs=1)
[stale_linked] memory/nao_u_experience_map.md (last_edit=2026-04-07, age=35日, refs=1)
[stale_linked] memory/feedback_resource_efficiency.md (last_edit=2026-04-08, age=34日, refs=1)
[stale_linked] memory/project_sns_growth_strategy.md (last_edit=2026-04-09, age=33日, refs=1)
[stale_linked] memory/reflections.md (last_edit=2026-04-09, age=33日, refs=1)

## 新規未登録 (refs=0 + age<7日): 6 件
[unregistered_new] memory/inbox_win2_overflow_20260507_131315.md (last_edit=2026-05-07, age=5日, refs=0)
[unregistered_new] memory/feedback_layer_a_validation_20260509.md (last_edit=2026-05-09, age=3日, refs=0)
[unregistered_new] memory/inbox_mir.md (last_edit=2026-05-11, age=1日, refs=0)
[unregistered_new] memory/inbox_win2.md (last_edit=2026-05-12, age=0日, refs=0)
[unregistered_new] memory/kaizen_tracker.md (last_edit=2026-05-12, age=0日, refs=0)
[unregistered_new] memory/mir_boot_intent.md (last_edit=2026-05-12, age=0日, refs=0)
